Question	Answer	Tags
"Question:
What AV block may develop with anterior MI?"	"Answer:
2nd-degree Type II or RBBB"	ccrn::cardio acs mi_types dysrhythmias
"Question:
Why Type II block with anterior MI?"	"Answer:
LAD supplies common bundle of His"	ccrn::cardio acs ecg mi_types dysrhythmias
"Question:
What does Type II block indicate in anterior MI?"	"Answer:
Ominous sign"	ccrn::cardio acs ecg mi_types dysrhythmias
"Question:
What systolic murmur can develop with anterior MI?"	"Answer:
Ventricular septal defect"	ccrn::cardio heart_sounds hemodynamics acs mi_types hf
"Question:
Does anterior MI have higher mortality than inferior?"	"Answer:
Yes; heart failure more common"	ccrn::cardio acs mi_types
"Question:
What leads show ST elevation in lateral MI?"	"Answer:
V5, V6 (low lateral); I, aVL (high lateral)"	ccrn::cardio acs ecg mi_types
"Question:
What artery is involved in lateral MI?"	"Answer:
Left circumflex"	ccrn::cardio acs mi_types
"Question:
What is reperfusion for STEMI?"	"Answer:
PCI or fibrinolytic therapy"	ccrn::cardio acs interventions
"Question:
What is door-to-balloon time for PCI?"	"Answer:
90 minutes"	ccrn::cardio interventions
"Question:
What is door-to-drug time for fibrinolytics?"	"Answer:
30 minutes"	ccrn::cardio interventions
"Question:
What are eligibility criteria for fibrinolytics?"	"Answer:
ST elevation in 2+ contiguous leads or new LBBB, onset < 12 hrs, pain ≥ 30 min, unresponsive to SL NTG"	ccrn::cardio interventions
"Question:
What are absolute contraindications to fibrinolytics?"	"Answer:
Prior intracranial hemorrhage, structural cerebral lesion, intracranial malignancy, ischemic stroke < 3 months, suspected aortic dissection, active bleeding, significant head/facial trauma < 3 months"	ccrn::cardio interventions
"Question:
What indicates successful reperfusion?"	"Answer:
Chest pain relief, ST resolution, marked troponin/CK-MB elevation, reperfusion arrhythmias"	ccrn::cardio interventions
"Question:
Why does troponin elevate with reperfusion?"	"Answer:
Myocardial 'stunning' when vessel opens"	ccrn::cardio interventions
"Question:
What are reperfusion arrhythmias?"	"Answer:
VT, VF, accelerated idioventricular rhythm (AIVR)"	ccrn::cardio acs interventions dysrhythmias
"Question:
Why do reperfusion arrhythmias occur?"	"Answer:
Myocardial 'stunning' when vessel opens"	ccrn::cardio acs interventions dysrhythmias
"Question:
What to monitor post-PCI for reocclusion?"	"Answer:
Chest pain, ST elevation"	ccrn::cardio interventions
"Question:
What is vasovagal reaction during sheath removal?"	"Answer:
Hypotension < 90 systolic with/without bradycardia, no compensatory tachycardia, pallor, nausea, yawning, diaphoresis"	ccrn::cardio
"Question:
How to manage vasovagal reaction?"	"Answer:
Fluids, atropine"	ccrn::cardio meds
"Question:
What bleeding site to monitor post-PCI?"	"Answer:
Sheath site, retroperitoneal"	ccrn::cardio interventions
"Question:
What are signs of retroperitoneal bleed?"	"Answer:
Sudden hypotension, severe low back pain"	ccrn::cardio
"Question:
How long to hold manual pressure post-sheath removal?"	"Answer:
Minimum 20 min (30 min if on GP IIb/IIIa inhibitors)"	ccrn::cardio
"Question:
Is emergent reperfusion needed for NSTEMI?"	"Answer:
No"	ccrn::cardio acs interventions
"Question:
What meds for NSTEMI?"	"Answer:
Same as STEMI"	ccrn::cardio acs
"Question:
When is cardiac cath done for NSTEMI?"	"Answer:
Within 24 hours if high risk or continued chest pain/instability"	ccrn::cardio acs
"Question:
What to start if high-risk NSTEMI?"	"Answer:
GP IIb/IIIa inhibitors (Integrilin, Reopro)"	ccrn::cardio acs
"Question:
What is the most common complication of acute MI?"	"Answer:
Arrhythmias"	ccrn::cardio acs
"Question:
What are life-threatening arrhythmias post-MI?"	"Answer:
VT, VF"	ccrn::cardio acs dysrhythmias
"Question:
How to treat VF?"	"Answer:
Defibrillate"	ccrn::cardio dysrhythmias
"Question:
How to treat stable sustained VT?"	"Answer:
Drug therapy"	ccrn::cardio dysrhythmias
"Question:
How to treat unstable sustained VT?"	"Answer:
Synchronized cardioversion"	ccrn::cardio dysrhythmias
"Question:
What other complications of acute MI?"	"Answer:
Bradycardia, heart blocks, SSS, atrial fibrillation, heart failure, cardiogenic shock, reinfarction, thromboembolism, pericarditis, ventricular aneurysm, VSD, papillary muscle rupture, wall rupture"	ccrn::cardio acs
"Question:
How does atrial fibrillation affect MI mortality?"	"Answer:
Increases risk 10-15%, even if returned to NSR"	ccrn::cardio acs
"Question:
What is goal of PCI with stent?"	"Answer:
Restoration of blood flow distal to coronary lesion"	ccrn::cardio interventions
"Question:
What is most common PCI procedure?"	"Answer:
Intracoronary stenting"	ccrn::cardio interventions
"Question:
What is in-hospital death rate for PCI?"	"Answer:
~1.8%"	ccrn::cardio interventions
"Question:
What is in-hospital MI rate for PCI?"	"Answer:
~0.4%"	ccrn::cardio acs interventions
"Question:
What are PCI complications?"	"Answer:
Coronary perforation, distal embolization, intramural hematoma, stent deployment failure, stent thrombosis, stroke/TIA, arrhythmias, renal failure, retroperitoneal bleed"	ccrn::cardio interventions
"Question:
When does stent thrombosis most likely occur?"	"Answer:
Acutely (< 24 hours) or subacutely (< 30 days)"	ccrn::cardio interventions
"Question:
What is hypertensive emergency/crisis?"	"Answer:
Elevated BP with end organ damage (brain, heart, kidney, retina)"	ccrn::cardio hypertension
"Question:
What is hypertensive urgency?"	"Answer:
Elevated BP without acute end organ damage"	ccrn::cardio hypertension
"Question:
What is greatest risk of hypertensive crisis?"	"Answer:
Stroke"	ccrn::cardio hypertension
"Question:
What is treatment of hypertensive crisis?"	"Answer:
Emergent BP lowering; nitroprusside or labetalol"	ccrn::cardio hypertension meds
"Question:
What is nitroprusside?"	"Answer:
Preload and afterload reducer"	ccrn::cardio meds
"Question:
What is cyanide toxicity from nitroprusside?"	"Answer:
Mental status change, tachycardia, seizure, need for increased dose, unexplained metabolic acidosis"	ccrn::cardio meds
"Question:
When is cyanide toxicity more likely?"	"Answer:
Renal impairment or drug use > 24 hours"	ccrn::cardio
"Question:
What is labetalol dosing preference?"	"Answer:
Intermittent IV doses (max 300 mg total)"	ccrn::cardio meds
"Question:
How long does labetalol effect persist?"	"Answer:
4-6 hours after IV dose"	ccrn::cardio meds
"Question:
What are the 6 Ps of PAD?"	"Answer:
Pain, pallor, pulse absent/diminished, paresthesia, paralysis, poikilothermia"	ccrn::cardio vascular
"Question:
What is poikilothermia?"	"Answer:
Loss of hair on toes/legs, glossy/thin/cool/dry skin"	ccrn::cardio acs
"Question:
What is ankle-brachial index (ABI)?"	"Answer:
Test to assess lower extremity perfusion"	ccrn::cardio vascular
"Question:
What is normal ABI?"	"Answer:
> 0.90"	ccrn::cardio vascular
"Question:
How is ABI calculated?"	"Answer:
Ankle pressure ÷ brachial pressure (same side)"	ccrn::cardio vascular
"Question:
What are PAD treatments?"	"Answer:
Embolectomy, bypass graft, angioplasty"	ccrn::cardio vascular
"Question:
What bed position for PAD?"	"Answer:
Reverse Trendelenburg"	ccrn::cardio vascular
"Question:
Should you elevate affected extremity in PAD?"	"Answer:
NO - decreases perfusion"	ccrn::cardio acs vascular
"Question:
What medications for PAD?"	"Answer:
Thrombolytics (tPA), anticoagulants (heparin), antiplatelet agents (ASA, clopidogrel), vasodilators"	ccrn::cardio vascular meds
"Question:
What are signs/symptoms of acute carotid artery disease?"	"Answer:
TIA, monocular visual disturbances, aphasia, stroke"	ccrn::cardio vascular
"Question:
What is gold standard diagnostic test for carotid disease?"	"Answer:
Angiography (risk of stroke during exam)"	ccrn::cardio vascular
"Question:
What are carotid artery disease treatments?"	"Answer:
Carotid endarterectomy (CEA), carotid stenting, aspirin, statin therapy"	ccrn::cardio vascular meds
"Question:
What to monitor post-carotid procedure?"	"Answer:
Frequent neurological/motor checks, BP/HR (labile BP/bradyarrhythmia possible), bleeding"	ccrn::cardio vascular
"Question:
What is hypoperfusion syndrome post-carotid procedure?"	"Answer:
Headache ipsilateral to revascularized artery, focal motor seizures, intracerebral hemorrhage"	ccrn::cardio vascular
"Question:
What is Wolff-Parkinson-White syndrome?"	"Answer:
Genetic conduction abnormality with abnormal pathway bypassing AV node"	ccrn::cardio
"Question:
What age group has WPW?"	"Answer:
< 30 years old"	ccrn::cardio dysrhythmias
"Question:
What does ECG show in WPW sinus rhythm?"	"Answer:
Short PR interval, delta wave"	ccrn::cardio ecg dysrhythmias
"Question:
What arrhythmia does WPW cause?"	"Answer:
SVT; may also have pre-excited atrial fibrillation"	ccrn::cardio acs dysrhythmias
"Question:
What is pre-excited atrial fibrillation?"	"Answer:
Irregular rhythm, rate ≥ 150 bpm, wide QRS"	ccrn::cardio
"Question:
What are WPW symptoms during SVT?"	"Answer:
Palpitations, dizziness, chest pain, SOB, syncope"	ccrn::cardio dysrhythmias
"Question:
What is definitive WPW treatment?"	"Answer:
Radiofrequency ablation"	ccrn::cardio dysrhythmias
"Question:
How to treat unstable SVT in WPW?"	"Answer:
Synchronized cardioversion or adenosine"	ccrn::cardio dysrhythmias meds
"Question:
How to treat pre-excited AF in WPW?"	"Answer:
Beta blockers, amiodarone, or procainamide IV"	ccrn::cardio dysrhythmias meds
"Question:
What NOT to give for pre-excited AF in WPW?"	"Answer:
Adenosine, digoxin, calcium channel blockers"	ccrn::cardio dysrhythmias meds
"Question:
Why avoid adenosine/digoxin/CCB in pre-excited AF?"	"Answer:
May enhance antegrade conduction through abnormal pathway by increasing AV node refractory period → VF"	ccrn::cardio meds
"Question:
What causes QT prolongation?"	"Answer:
Drugs (amiodarone, quinidine, haloperidol, procainamide), electrolyte problems (hypokalemia, hypocalcemia, hypomagnesemia)"	ccrn::cardio dysrhythmias meds
"Question:
What can QT prolongation lead to?"	"Answer:
Torsades de pointes"	ccrn::cardio ecg dysrhythmias
"Question:
What is treatment for torsades VT?"	"Answer:
Magnesium"	ccrn::cardio dysrhythmias meds
"Question:
What does first letter of pacemaker code indicate?"	"Answer:
Chamber paced"	ccrn::cardio devices
"Question:
What does second letter of pacemaker code indicate?"	"Answer:
Chamber sensed"	ccrn::cardio devices
"Question:
What does third letter of pacemaker code indicate?"	"Answer:
Response to sensing"	ccrn::cardio devices
"Question:
What does I mean in pacemaker code?"	"Answer:
Inhibits (demand pacing)"	ccrn::cardio devices
"Question:
What does D mean in pacemaker code?"	"Answer:
Inhibits and triggers (dual)"	ccrn::cardio devices
"Question:
What does O mean in pacemaker code?"	"Answer:
None"	ccrn::cardio devices
"Question:
What is DDD pacemaker?"	"Answer:
Paces both chambers, senses both, can inhibit and trigger"	ccrn::cardio devices
"Question:
What is VVI pacemaker?"	"Answer:
Paces ventricle, senses ventricle, inhibits in response to sensing"	ccrn::cardio devices
"Question:
What are 3 basic pacer malfunctions?"	"Answer:
Failure to pace, failure to capture, failure to sense"	ccrn::cardio devices
"Question:
What is failure to pace?"	"Answer:
No spike when expected"	ccrn::cardio
"Question:
What is failure to capture?"	"Answer:
Spikes without QRS (for ventricular pacing)"	ccrn::cardio
"Question:
What is failure to sense?"	"Answer:
Pacing in native beats"	ccrn::cardio
"Question:
What tiered therapy can ICDs provide?"	"Answer:
Programmed to shock, burst pace, provide pacing for bradyarrhythmias"	ccrn::cardio devices
"Question:
What is ICD burst pacing?"	"Answer:
Sense tachyarrhythmia, provide beats faster than tachyarrhythmia, suddenly stop (hope for SA node recovery)"	ccrn::cardio devices
"Question:
If ICD does not correct arrhythmia, what to do?"	"Answer:
Shock as usual; do not place pads directly over ICD"	ccrn::cardio acs dysrhythmias devices
"Question:
What patient education needed for ICD?"	"Answer:
Device function, emotional support (fear of being shocked)"	ccrn::cardio devices
"Question:
What is heart failure?"	"Answer:
Clinical syndrome with signs/symptoms of high intracardiac pressures and decreased CO"	ccrn::cardio hf
"Question:
What is acute decompensated heart failure?"	"Answer:
Abrupt onset of severe symptoms requiring hospitalization"	ccrn::cardio hf
"Question:
What percent of acute decompensated HF have chronic HF history?"	"Answer:
~75%"	ccrn::cardio hf
"Question:
What is heart failure with systolic dysfunction?"	"Answer:
EF ≤ 40%, problem with ejection"	ccrn::cardio hemodynamics hf
"Question:
What is heart failure with diastolic dysfunction?"	"Answer:
EF > 50%, problem with filling"	ccrn::cardio hemodynamics hf
"Question:
What is BNP?"	"Answer:
B-type natriuretic peptide"	ccrn::cardio hf
"Question:
Why is BNP released?"	"Answer:
Ventricle under wall stress; attempts to dilate and decrease ventricular pressure"	ccrn::cardio hf
"Question:
When does BNP elevate?"	"Answer:
LV failure (or to lesser degree, RV stress from pulmonary HTN/PE)"	ccrn::cardio hf
"Question:
What is pathophysiology of systolic dysfunction?"	"Answer:
Decreased contractility → decreased CO → compensatory mechanisms (SNS, RAAS) → fluid retention"	ccrn::cardio hemodynamics hf
"Question:
What causes systolic HF remodeling over time?"	"Answer:
Prolonged compensatory hormone effects"	ccrn::cardio hemodynamics hf
"Question:
What drugs decrease neurohormonal effects in HF?"	"Answer:
ACE inhibitors, ARBs, beta blockers, aldosterone antagonists"	ccrn::cardio hf
"Question:
What is heart size on CXR in systolic HF?"	"Answer:
May be large/dilated or normal"	ccrn::cardio hemodynamics hf
"Question:
What is PMI shift in systolic HF?"	"Answer:
From midclavicular to left (if enlarged heart)"	ccrn::cardio hemodynamics acs hf
"Question:
What is heart size on CXR in diastolic HF?"	"Answer:
Generally normal"	ccrn::cardio hemodynamics hf
"Question:
What may ECG show in diastolic HF?"	"Answer:
LV hypertrophy pattern (especially with uncontrolled HTN)"	ccrn::cardio hemodynamics ecg hf
"Question:
What causes right-sided HF?"	"Answer:
Pulmonary HTN, cor pulmonale, RV infarct, left-sided HF, tricuspid/pulmonic valve disease"	ccrn::cardio hf
"Question:
What causes left-sided HF?"	"Answer:
CAD, MI, HTN, cardiomyopathy, mitral/aortic valve disease"	ccrn::cardio hf
"Question:
What are signs/symptoms of right-sided HF?"	"Answer:
JVD, peripheral edema, hepatomegaly, ascites, weight gain"	ccrn::cardio hf
"Question:
What are signs/symptoms of left-sided HF?"	"Answer:
Dyspnea, orthopnea, PND, pulmonary crackles, S3, cough, fatigue"	ccrn::cardio hf
"Question:
What is AHA Stage A heart failure?"	"Answer:
High risk; no dysfunction"	ccrn::cardio hf
"Question:
What is AHA Stage B heart failure?"	"Answer:
Heart disorder/structural defect; no symptoms"	ccrn::cardio hf
"Question:
What is AHA Stage C heart failure?"	"Answer:
Heart disorder/structural defect with symptoms (past or present)"	ccrn::cardio hf
"Question:
What is AHA Stage D heart failure?"	"Answer:
End-stage with symptoms despite maximal therapy"	ccrn::cardio hf
"Question:
What is NYHA Class I heart failure?"	"Answer:
Ordinary activity does not cause symptoms; extraordinary activity does"	ccrn::cardio hf
"Question:
What is NYHA Class II heart failure?"	"Answer:
Comfortable at rest; ordinary activity causes symptoms"	ccrn::cardio ecg hf
"Question:
What is NYHA Class III heart failure?"	"Answer:
Comfortable at rest; minimal activity causes symptoms"	ccrn::cardio ecg hf
"Question:
What is NYHA Class IV heart failure?"	"Answer:
Symptoms at rest; severe limitation of physical activity"	ccrn::cardio hf
"Question:
What is main cause of death from HF?"	"Answer:
Sudden death arrhythmia"	ccrn::cardio hf
"Question:
What NYHA classes may need ICD?"	"Answer:
Class II to IV"	ccrn::cardio devices hf
