Question	Answer	Tags
"Question:
What determines suction amount in chest tube?"	"Answer:
Gauge or water level, NOT wall suction source"	ccrn::respiratory pleural_space
"Question:
When to clamp chest tube?"	"Answer:
Only when changing system, with disconnection, or with physician order"	ccrn::respiratory pleural_space
"Question:
Why not clamp chest tube routinely?"	"Answer:
Cuts off negative pressure; lung may re-collapse"	ccrn::respiratory pleural_space
"Question:
How to confirm ETT placement?"	"Answer:
Waveform capnography (most accurate), end-tidal CO2, auscultation"	ccrn::respiratory vents vent_modes
"Question:
What is ETT cuff pressure?"	"Answer:
20 cm H2O"	ccrn::respiratory vents
"Question:
Where should ETT be on CXR?"	"Answer:
3-5 cm above carina"	ccrn::respiratory vents
"Question:
Where does ETT migrate if it migrates?"	"Answer:
Right lung (shorter, wider, less angle)"	ccrn::respiratory vents
"Question:
When to get ABGs after intubation?"	"Answer:
Within 20-30 minutes"	ccrn::respiratory abg vents
"Question:
What is assist-control mode?"	"Answer:
Patient receives set Vt at set rate; all patient-triggered breaths get set Vt"	ccrn::respiratory vent_modes
"Question:
What is SIMV mode?"	"Answer:
Patient receives set Vt at set rate; breaths above set rate are spontaneous at patient's own Vt"	ccrn::respiratory vent_modes
"Question:
Is AC a weaning mode?"	"Answer:
No (unless alternated with spontaneous breathing periods)"	ccrn::respiratory vent_modes weaning
"Question:
Is SIMV a weaning mode?"	"Answer:
Yes (reducing rate allows patient to assume more work)"	ccrn::respiratory vent_modes weaning
"Question:
What is PSV?"	"Answer:
Pressure support ventilation; increases airway pressure during inspiration to boost spontaneous Vt"	ccrn::respiratory vent_modes
"Question:
When is PSV triggered?"	"Answer:
Patient-triggered (not if paralyzed/sedated)"	ccrn::respiratory vent_modes
"Question:
What is normal breath rate?"	"Answer:
12-16 breaths/minute"	ccrn::respiratory
"Question:
What is normal tidal volume?"	"Answer:
6-8 mL/kg"	ccrn::respiratory
"Question:
What is tidal volume for ARDS?"	"Answer:
5-6 mL/kg (to prevent volutrauma)"	ccrn::respiratory ards
"Question:
What FiO2 on intubation?"	"Answer:
100%, then adjust down to ≤ 50% ASAP"	ccrn::respiratory vents
"Question:
What causes high-pressure alarms?"	"Answer:
Agitation, coughing, secretions, aspiration, kinked ETT, bronchospasm, decreasing compliance, pneumothorax"	ccrn::respiratory vent_alarms
"Question:
What causes low-pressure alarms?"	"Answer:
Circuit disconnection/leak, inadequate Vt, cuff leak, chest tube leak"	ccrn::respiratory vent_alarms
"Question:
What to do if unable to troubleshoot alarm?"	"Answer:
Disconnect ventilator, ventilate with bag/valve device"	ccrn::respiratory vent_alarms
"Question:
What ventilator settings for ARDS?"	"Answer:
Low Vt (5-6 mL/kg), high PEEP (≥ 15), limit plateau pressure ≤ 30"	ccrn::respiratory ards vents
"Question:
What ventilator settings for asthma?"	"Answer:
Low rate, low Vt, increased I:E ratio (> 1:3-4), no PEEP"	ccrn::respiratory asthma vents
"Question:
What are criteria for weaning?"	"Answer:
Original reason resolved, minute ventilation < 10 L/min, spontaneous Vt > 5 mL/kg, NIF > -25 cm H2O, RSBI < 105, vital capacity > 10 mL/kg, ABGs acceptable on FiO2 ≤ 50%"	ccrn::respiratory weaning
"Question:
What are criteria to stop spontaneous breathing trial?"	"Answer:
RR > 35 or < 8, SpO2 < 88%, respiratory distress, mental status change, cardiac arrhythmia, hypotension"	ccrn::respiratory weaning
"Question:
What is albuterol (Ventolin)?"	"Answer:
Short-acting beta-2 agonist; bronchodilator; for asthma, COPD"	ccrn::respiratory meds
"Question:
What is ipratropium (Atrovent)?"	"Answer:
Anticholinergic; bronchodilator; for asthma, COPD"	ccrn::respiratory meds
"Question:
What is sildenafil (Viagra)?"	"Answer:
Phosphodiesterase-5 inhibitor; vasodilator; for pulmonary hypertension"	ccrn::respiratory meds
"Question:
What is tadalafil (Cialis)?"	"Answer:
Phosphodiesterase-5 inhibitor; vasodilator; for pulmonary hypertension"	ccrn::respiratory ards meds
