Question	Answer	Tags
What are the hemodynamic effects of beta-1 receptor activation?	Increased heart rate (chronotropy); increased contractility (inotropy); increased cardiac output (dromotropy).	ccrn::pharmacology ccrn::receptors
What are the hemodynamic effects of beta-2 receptor activation?	Smooth muscle relaxation; lowers intravascular pressure (vasodilation).	ccrn::pharmacology ccrn::receptors
What are the effects of beta-3 receptor activation?	Increased lipolysis; bladder relaxation; no major hemodynamic effects.	ccrn::pharmacology ccrn::receptors
What are the hemodynamic effects of dopamine receptor activation?	Vasodilation; promotes diuresis (renal artery vasodilation).	ccrn::pharmacology ccrn::receptors ccrn::dopamine
What are the effects of V1 vasopressin receptor activation?	Vasoconstriction; no effect on pulmonary vasculature; may promote thrombosis.	ccrn::pharmacology ccrn::receptors ccrn::vasopressin
Where are V1 vasopressin receptors located?	Vascular smooth muscle and platelets.	ccrn::pharmacology ccrn::receptors ccrn::vasopressin
What are the effects of V2 vasopressin receptor activation?	Antidiuretic effect (water resorption in renal collecting ducts).	ccrn::pharmacology ccrn::receptors ccrn::vasopressin
What are the effects of V3 vasopressin receptor activation?	Promotes corticotropin release from anterior pituitary → steroid-mediated hemodynamic response.	ccrn::pharmacology ccrn::receptors ccrn::vasopressin
What are the effects of Angiotensin II (type 1) receptor activation?	Vasoconstriction; aldosterone production; vasopressin release; decreased renal blood flow.	ccrn::pharmacology ccrn::receptors ccrn::angiotensin
What is the role of the L-type calcium channel in myocyte contraction?	Membrane depolarization opens it → calcium influx → triggers calcium release from sarcoplasmic reticulum via ryanodine receptors → contraction.	ccrn::pharmacology ccrn::physiology
How does beta-1 receptor activation increase contractility?	Beta-1 → increases cAMP → potentiates L-type Ca²⁺ channel → increased calcium influx → increased contractility.	ccrn::pharmacology ccrn::physiology ccrn::receptors
How does milrinone increase contractility at the cellular level?	Inhibits PDE-III → prevents cAMP breakdown → increased cAMP → calcium-induced calcium release → contraction.	ccrn::pharmacology ccrn::physiology ccrn::milrinone
What does serum lactate indicate in shock?	Global estimate of tissue hypoperfusion; confounded by epinephrine-induced release and sepsis.	ccrn::pharmacology ccrn::monitoring
What is central venous oxygen saturation (ScvO2) used for in shock?	Estimates cardiac output using Fick's law; low ScvO2 suggests inadequate oxygen delivery.	ccrn::pharmacology ccrn::monitoring
What is the square wave test used for?	Identifies over- or under-dampening of an arterial line pressure conduit.	ccrn::pharmacology ccrn::monitoring
What does pulse pressure reflect?	Relative strength of cardiac contraction; wider PP = stronger contraction.	ccrn::pharmacology ccrn::monitoring
What is phenylephrine?	Vasopressor; pure alpha-1 agonist; raises SVR with no beta activity.	ccrn::pharmacology ccrn::phenylephrine
What receptors does phenylephrine activate?	Alpha-1 only (no beta activity).	ccrn::pharmacology ccrn::phenylephrine ccrn::receptors
What is phenylephrine's effect on heart rate?	Reflexive decrease (reflex bradycardia) due to rising BP without beta agonism.	ccrn::pharmacology ccrn::phenylephrine
What is phenylephrine's effect on cardiac output?	May decrease CO by increasing afterload.	ccrn::pharmacology ccrn::phenylephrine
What is phenylephrine's effect on SVR?	Increases SVR (pure vasoconstriction).	ccrn::pharmacology ccrn::phenylephrine
What is phenylephrine's effect on preload?	Increases venous return (mild increase in preload via venoconstriction).	ccrn::pharmacology ccrn::phenylephrine
What is phenylephrine's effect on afterload?	Increases afterload significantly.	ccrn::pharmacology ccrn::phenylephrine
When is phenylephrine preferred clinically?	SVT with hypotension; pure distributive shock when tachycardia must be avoided; vasoplegic states without cardiac dysfunction.	ccrn::pharmacology ccrn::phenylephrine
When should phenylephrine be avoided?	RV dysfunction (increases RV afterload, no inotropy); cardiogenic shock.	ccrn::pharmacology ccrn::phenylephrine
What is phenylephrine's major adverse effect?	Reflex bradycardia; pulmonary vasoconstriction; decreased CO.	ccrn::pharmacology ccrn::phenylephrine
What is the typical dose range for phenylephrine infusion?	10–200 mcg/min.	ccrn::pharmacology ccrn::phenylephrine
What is a push-dose of phenylephrine?	100 mcg/mL concentration; 1–2 mL bolus for immediate BP support.	ccrn::pharmacology ccrn::phenylephrine
What is norepinephrine?	Vasopressor/Inopressor; potent alpha-adrenergic agonist with mild beta-adrenergic agonism; first-line for most shock.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What receptors does norepinephrine activate?	Primarily alpha-1 (strong); mild beta-1 agonism.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine ccrn::receptors
What is norepinephrine's effect on SVR?	Increases SVR (potent vasoconstriction).	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What is norepinephrine's effect on heart rate?	Mild increase or unchanged (mild beta-1); often offset by baroreflex.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What is norepinephrine's effect on cardiac output?	Mildly increases CO via beta-1 inotropy; may decrease if afterload dominates.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What is norepinephrine's effect on preload?	Increases preload (venoconstriction).	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What is norepinephrine's effect on afterload?	Increases afterload significantly.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
When is norepinephrine preferred clinically?	First-line agent for undifferentiated shock and septic shock.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What is norepinephrine's major adverse effect?	Tissue necrosis if extravasation occurs; ischemia at high doses.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
Why is central venous access preferred for norepinephrine?	Potent vasoconstrictor; extravasation risk causes tissue necrosis.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What is the typical dose range for norepinephrine?	0.01–3 mcg/kg/min (or 1–30 mcg/min).	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What are norepinephrine titration pearls?	Titrate to MAP goal (≥65 mmHg); add vasopressin to spare norepinephrine dose; central line preferred.	ccrn::pharmacology ccrn::norepi ccrn::norepinephrine
What is epinephrine?	Inopressor/Catecholamine; agonist at all adrenergic receptors (alpha-1, beta-1, beta-2); dose-dependent effects.	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What receptors does epinephrine activate?	All adrenergic: alpha-1, alpha-2, beta-1, beta-2.	ccrn::pharmacology ccrn::epi ccrn::epinephrine ccrn::receptors
What is epinephrine's effect at low doses?	Beta effects dominate: increased HR, contractility, smooth muscle relaxation (beta-2 vasodilation).	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is epinephrine's effect at high doses?	Alpha-1 dominates: vasoconstriction, increased SVR.	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is epinephrine's effect on SVR?	Dose-dependent: low dose may decrease SVR (beta-2); high dose increases SVR (alpha-1).	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is epinephrine's effect on heart rate?	Increases HR (beta-1 chronotropy).	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is epinephrine's effect on cardiac output?	Increases CO (positive inotropy + chronotropy).	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is epinephrine's effect on preload?	Increases preload (venoconstriction at alpha doses).	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is epinephrine's effect on afterload?	Dose-dependent: increases afterload at higher doses.	ccrn::pharmacology ccrn::epi ccrn::epinephrine
When is epinephrine preferred clinically?	Cardiogenic shock with hypotension; anaphylaxis; cardiac arrest; second-line septic shock; beta-blocker/CCB overdose.	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is epinephrine's major adverse effect?	Tachyarrhythmias; elevated lactate (may confound perfusion assessment); myocardial ischemia.	ccrn::pharmacology ccrn::epi ccrn::epinephrine
Why does epinephrine elevate lactate?	Causes increased lactate production and release independent of tissue hypoperfusion.	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is the typical infusion dose range for epinephrine?	0.01–0.3 mcg/kg/min.	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is the cardiac arrest dose of epinephrine?	1 mg IV bolus (traditional).	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is a push-dose of epinephrine?	10 mcg/mL concentration; 1–2 mL bolus IV for immediate BP/HR support.	ccrn::pharmacology ccrn::epi ccrn::epinephrine
What is an advantage of epinephrine over norepinephrine for extravasation?	Epinephrine is tolerated subcutaneously; norepinephrine causes tissue necrosis.	ccrn::pharmacology ccrn::epi ccrn::epinephrine ccrn::norepi
What is dobutamine?	Inodilator/Inotrope; synthetic beta-agonist; preferentially activates beta-1 (3× beta-1 vs beta-2); mild alpha activity.	ccrn::pharmacology ccrn::dobutamine
What receptors does dobutamine activate?	Beta-1 (preferential, 3:1 over beta-2); mild beta-2; mild alpha-1.	ccrn::pharmacology ccrn::dobutamine ccrn::receptors
What is dobutamine's effect on SVR?	Decreases SVR (vasodilation via beta-2).	ccrn::pharmacology ccrn::dobutamine
What is dobutamine's effect on heart rate?	Increases HR (beta-1 chronotropy).	ccrn::pharmacology ccrn::dobutamine
What is dobutamine's effect on cardiac output?	Increases CO (positive inotropy + decreased afterload).	ccrn::pharmacology ccrn::dobutamine
What is dobutamine's effect on preload?	Mildly decreases preload (vasodilation).	ccrn::pharmacology ccrn::dobutamine
What is dobutamine's effect on afterload?	Decreases afterload (inodilator).	ccrn::pharmacology ccrn::dobutamine
When is dobutamine preferred clinically?	First-line inotrope for cardiogenic shock; RV failure; high SVR states; valvular regurgitation.	ccrn::pharmacology ccrn::dobutamine
What is dobutamine's major adverse effect?	Hypotension; tachyarrhythmias; increased myocardial oxygen demand.	ccrn::pharmacology ccrn::dobutamine
What is the typical dose range for dobutamine?	2–15 mcg/kg/min (occasionally higher).	ccrn::pharmacology ccrn::dobutamine
What are dobutamine weaning considerations?	Taper gradually; monitor for rebound hemodynamic deterioration; assess underlying cause of shock.	ccrn::pharmacology ccrn::dobutamine
What is isoproterenol?	Inotrope/Chronotrope; synthetic nonselective beta-agonist; no alpha activity; strong chronotropic effect.	ccrn::pharmacology ccrn::isoproterenol
What receptors does isoproterenol activate?	Beta-1 and beta-2 (nonselective); no alpha activity.	ccrn::pharmacology ccrn::isoproterenol ccrn::receptors
What is isoproterenol's effect on SVR?	Decreases SVR (beta-2 vasodilation); causes hypotension.	ccrn::pharmacology ccrn::isoproterenol
What is isoproterenol's effect on heart rate?	Profound increase in HR (strongest chronotrope among inotropes).	ccrn::pharmacology ccrn::isoproterenol
What is isoproterenol's effect on cardiac output?	Increases CO (strong inotropy + chronotropy).	ccrn::pharmacology ccrn::isoproterenol
When is isoproterenol preferred clinically?	Symptomatic bradycardia (best chronotropic agent); bridge to pacing; Torsades de Pointes; heart transplant bradycardia.	ccrn::pharmacology ccrn::isoproterenol
What is isoproterenol's major adverse effect?	Significant hypotension (vasodilation); tachyarrhythmias; high cost.	ccrn::pharmacology ccrn::isoproterenol
What is the typical dose range for isoproterenol?	0.5–5 mcg/min (up to 20 mcg/min for severe bradycardia).	ccrn::pharmacology ccrn::isoproterenol
What is dopamine?	Indirect-acting vasopressor/Inotrope; precursor to norepinephrine/epinephrine; dose-dependent receptor effects.	ccrn::pharmacology ccrn::dopamine
How does dopamine exert most of its hemodynamic effects?	Converts to norepinephrine and epinephrine (indirect mechanism); direct dopamine receptor effects at low doses.	ccrn::pharmacology ccrn::dopamine
What are dopamine's effects at low doses (1–5 mcg/kg/min)?	Dopamine receptor activation → renal/mesenteric vasodilation, increased diuresis, natriuresis.	ccrn::pharmacology ccrn::dopamine
What are dopamine's effects at medium doses (5–15 mcg/kg/min)?	Beta-receptor effects → increased HR, contractility, cardiac output.	ccrn::pharmacology ccrn::dopamine
What are dopamine's effects at high doses (>15 mcg/kg/min)?	Alpha-1 activation → vasoconstriction, increased BP, increased SVR.	ccrn::pharmacology ccrn::dopamine
What receptors does dopamine activate?	Dopamine receptors (low dose); beta-1/2 (mid dose); alpha-1 (high dose).	ccrn::pharmacology ccrn::dopamine ccrn::receptors
What is dopamine's effect on SVR?	Dose-dependent: decreases at low dose (vasodilation); increases at high dose (vasoconstriction).	ccrn::pharmacology ccrn::dopamine
What is dopamine's effect on heart rate?	Increases HR (especially at medium/high doses).	ccrn::pharmacology ccrn::dopamine
What is dopamine's effect on cardiac output?	Increases CO at medium doses; variable at high doses.	ccrn::pharmacology ccrn::dopamine
When is dopamine preferred clinically?	Rarely first-line; may be used for bradycardia-associated hypotension; alternative if norepi unavailable.	ccrn::pharmacology ccrn::dopamine
Does low-dose dopamine protect the kidneys?	No; despite promoting diuresis, low-dose dopamine has not shown clinically important renoprotective effects.	ccrn::pharmacology ccrn::dopamine
What is dopamine's major adverse effect?	Unpredictable dose-response; tachyarrhythmias; tissue necrosis with extravasation.	ccrn::pharmacology ccrn::dopamine
Why is dopamine no longer first-line for shock?	Unpredictable pharmacodynamics; higher rate of arrhythmias compared to norepinephrine; safer alternatives exist.	ccrn::pharmacology ccrn::dopamine
What is ephedrine?	Indirect-acting sympathomimetic; stimulates norepinephrine release; effects similar to low-dose epinephrine.	ccrn::pharmacology ccrn::ephedrine
What is ephedrine's mechanism of action?	Stimulates norepinephrine release from sympathetic terminals (indirect catecholamine release).	ccrn::pharmacology ccrn::ephedrine
When may ephedrine be less effective?	Catecholamine depletion states (prolonged critical illness).	ccrn::pharmacology ccrn::ephedrine
What is the typical dose of ephedrine?	5–10 mg IV bolus; 25–50 mg IM.	ccrn::pharmacology ccrn::ephedrine
What is vasopressin?	Vasopressor/ADH; naturally occurring nonapeptide from posterior pituitary; V1-mediated vasoconstriction; V2-mediated antidiuresis.	ccrn::pharmacology ccrn::vasopressin
What receptors does vasopressin activate?	V1 (vasoconstriction on smooth muscle/platelets); V2 (antidiuresis); V3 (corticotropin release).	ccrn::pharmacology ccrn::vasopressin ccrn::receptors
What is vasopressin's effect on SVR?	Increases SVR (vasoconstriction via V1 receptors).	ccrn::pharmacology ccrn::vasopressin
What is vasopressin's effect on pulmonary vascular resistance?	Does NOT increase pulmonary vascular resistance (advantage over catecholamines).	ccrn::pharmacology ccrn::vasopressin
What is vasopressin's effect on heart rate?	No direct chronotropic effect; HR may decrease reflexively with rising BP.	ccrn::pharmacology ccrn::vasopressin
What is vasopressin's effect on preload?	Mild increase (venoconstriction); V2 also increases water reabsorption.	ccrn::pharmacology ccrn::vasopressin
What is vasopressin's effect on afterload?	Increases afterload (systemic vasoconstriction).	ccrn::pharmacology ccrn::vasopressin
What is vasopressin's effect on cardiac output?	May decrease CO if afterload increases without inotropy.	ccrn::pharmacology ccrn::vasopressin
What is a key advantage of vasopressin over catecholamines in acidosis?	Effect is NOT pH-sensitive; catecholamine receptors have diminished response in acidic environments.	ccrn::pharmacology ccrn::vasopressin
When is vasopressin preferred clinically?	Adjunct to norepinephrine in septic shock; RV failure (no pulmonary vasoconstriction); refractory shock; esophageal variceal bleeding.	ccrn::pharmacology ccrn::vasopressin
What is vasopressin's major adverse effect?	Splanchnic ischemia (especially at high doses); hyponatremia; thrombosis (platelet activation via V1).	ccrn::pharmacology ccrn::vasopressin
What is the standard vasopressin infusion dose?	0.01–0.04 units/min (physiologic supplementation).	ccrn::pharmacology ccrn::vasopressin
What is the high-dose vasopressin range and its indication?	Up to 0.1 units/min for esophageal variceal bleeding; risk of splanchnic ischemia at this dose.	ccrn::pharmacology ccrn::vasopressin
What is the cardiac arrest bolus dose of vasopressin?	40 units IV push.	ccrn::pharmacology ccrn::vasopressin
What is terlipressin?	Synthetic vasopressin analog; increased V1 selectivity (more vasoconstriction, fewer renal effects); used for hepatorenal syndrome.	ccrn::pharmacology ccrn::vasopressin
What is desmopressin (DDAVP)?	Synthetic vasopressin analog; V2-selective; longer half-life; used for platelet dysfunction and diabetes insipidus; minimal hemodynamic effects.	ccrn::pharmacology ccrn::vasopressin
What is angiotensin II?	Vasopressor; naturally occurring hormone (RAAS); acts on AT1 receptors to cause vasoconstriction; approved for vasodilatory shock.	ccrn::pharmacology ccrn::angiotensin
What is angiotensin II's mechanism of action?	AT1 receptor agonism → vasoconstriction + aldosterone production + vasopressin release + decreased renal blood flow.	ccrn::pharmacology ccrn::angiotensin
What is angiotensin II's effect on SVR?	Increases SVR (vasoconstriction).	ccrn::pharmacology ccrn::angiotensin
What is angiotensin II's effect on cardiac output?	May decrease CO if afterload increases significantly.	ccrn::pharmacology ccrn::angiotensin
When is angiotensin II preferred clinically?	Refractory vasodilatory shock; patients on ACE inhibitors; high catecholamine requirements.	ccrn::pharmacology ccrn::angiotensin
What is angiotensin II's major adverse effect?	Increased platelet aggregation → thrombotic complications.	ccrn::pharmacology ccrn::angiotensin
What is the starting dose for angiotensin II?	0.02 mcg/kg/min (20 ng/kg/min); max 0.08 mcg/kg/min in first 3 hours; maintenance ≤0.04 mcg/kg/min.	ccrn::pharmacology ccrn::angiotensin
What is milrinone?	Inodilator; bipyridine phosphodiesterase III (PDE-III) inhibitor; increases cAMP → inotropy + vasodilation.	ccrn::pharmacology ccrn::milrinone
What is milrinone's mechanism of action?	Inhibits PDE-III → cAMP accumulation → calcium-induced calcium release → myocyte contraction + vascular smooth muscle relaxation.	ccrn::pharmacology ccrn::milrinone
What receptors does milrinone bypass?	Acts downstream of beta receptors; works independently of adrenergic receptors.	ccrn::pharmacology ccrn::milrinone ccrn::receptors
What is milrinone's effect on SVR?	Decreases SVR (systemic vasodilation).	ccrn::pharmacology ccrn::milrinone
What is milrinone's effect on pulmonary vascular resistance?	Decreases PVR (pulmonary vasodilation) — useful in pulmonary hypertension.	ccrn::pharmacology ccrn::milrinone
What is milrinone's effect on heart rate?	Increases HR (chronotropy).	ccrn::pharmacology ccrn::milrinone
What is milrinone's effect on cardiac output?	Increases CO (inotropy + afterload reduction).	ccrn::pharmacology ccrn::milrinone
What is milrinone's effect on preload?	Decreases preload (vasodilation).	ccrn::pharmacology ccrn::milrinone
What is milrinone's effect on afterload?	Decreases afterload.	ccrn::pharmacology ccrn::milrinone
When is milrinone preferred clinically?	Cardiogenic shock with high SVR or pulmonary hypertension; beta-blocker users; down-regulated beta receptors; RV failure with high PVR.	ccrn::pharmacology ccrn::milrinone
What is milrinone's major adverse effect?	Hypotension (more than dobutamine); tachyarrhythmias; prolonged effect in renal failure.	ccrn::pharmacology ccrn::milrinone
What is milrinone's half-life?	2–4 hours; significantly prolonged in renal failure → reduce dose.	ccrn::pharmacology ccrn::milrinone
What is the typical milrinone infusion dose?	0.25–0.75 mcg/kg/min.	ccrn::pharmacology ccrn::milrinone
What is the milrinone loading bolus and its concern?	50 mcg/kg; shortens onset but causes more hypotension and tachycardia.	ccrn::pharmacology ccrn::milrinone
What are milrinone weaning considerations?	Long half-life requires extended monitoring after stopping; renal failure prolongs effect; taper in heart failure to avoid rebound.	ccrn::pharmacology ccrn::milrinone
What is calcium's role as a vasoactive agent?	Positive inotrope; final common pathway for myocyte contraction; useful in hypocalcemia-related cardiogenic shock.	ccrn::pharmacology ccrn::calcium
What is the difference between calcium chloride and calcium gluconate?	CaCl has ~3× more elemental calcium per gram than Ca gluconate; preferred in emergencies.	ccrn::pharmacology ccrn::calcium
When is calcium chloride preferred over calcium gluconate?	Emergent situations (more elemental calcium); continuous infusion via central line (more caustic).	ccrn::pharmacology ccrn::calcium
What is the dose of calcium chloride for cardiogenic shock?	20 mg/kg bolus or 1 g ampule; followed by 20–50 mg/kg/h infusion if beneficial.	ccrn::pharmacology ccrn::calcium
What is calcium's use in CCB or beta-blocker toxicity?	Competitive agonism at L-type calcium channels; overcomes CCB blockade; supplemental benefit in beta-blocker toxicity.	ccrn::pharmacology ccrn::calcium
What is levosimendan?	Inodilator; calcium sensitizer; increases troponin C sensitivity to calcium → inotropy without increasing O2 demand; also opens K-ATP channels → vasodilation.	ccrn::pharmacology ccrn::levosimendan
What is levosimendan's effect on myocardial oxygen demand compared to catecholamines?	Less increase in O2 demand (calcium sensitization vs. increased calcium influx).	ccrn::pharmacology ccrn::levosimendan
When is levosimendan used clinically?	Acute heart failure exacerbations (approved outside USA); diastolic dysfunction.	ccrn::pharmacology ccrn::levosimendan
What is levosimendan's major adverse effect?	Tachycardia; hypotension; hypokalemia; prolonged effect (active metabolites, very long half-life).	ccrn::pharmacology ccrn::levosimendan
What is the levosimendan infusion duration recommendation?	Less than 24 hours due to prolonged active metabolites.	ccrn::pharmacology ccrn::levosimendan
What is digoxin?	Cardiac glycoside; Na/K-ATPase inhibitor → increased intracellular Ca → weak inotropy; AV nodal blocker (rate control); used in atrial fibrillation.	ccrn::pharmacology ccrn::digoxin
What is digoxin's mechanism of action?	Inhibits Na/K-ATPase → increased intracellular Na → decreased Na/Ca exchange → increased intracellular Ca → weak inotropy.	ccrn::pharmacology ccrn::digoxin
Why is digoxin used in shock with atrial fibrillation?	Provides rate control without the negative inotropic effects of other rate-control agents (beta-blockers, CCBs).	ccrn::pharmacology ccrn::digoxin
What is the typical digoxin bolus dose for rate control?	500 mcg IV, repeated once or twice over 24 hours; adjust maintenance for renal function.	ccrn::pharmacology ccrn::digoxin
What is high-dose insulin therapy in shock?	Inotrope; shifts myocardial metabolism from free fatty acids to carbohydrates → increased contractility; not catecholamine-mediated.	ccrn::pharmacology ccrn::insulin
When is high-dose insulin therapy indicated?	Beta-blocker toxicity; calcium channel blocker toxicity; refractory cardiogenic shock.	ccrn::pharmacology ccrn::insulin
What is the high-dose insulin bolus and infusion dose?	0.5–1 unit/kg bolus; then 0.5–1 unit/kg/h infusion.	ccrn::pharmacology ccrn::insulin
What must accompany high-dose insulin therapy?	Glucose: 0.5 g/kg bolus then 0.5–1 g/kg/h infusion (HIG therapy); also consider potassium supplementation (GIK therapy).	ccrn::pharmacology ccrn::insulin
What is HIG therapy?	High-dose Insulin/Glucose therapy for refractory cardiogenic shock or CCB/beta-blocker toxicity.	ccrn::pharmacology ccrn::insulin
What is glucagon as a vasoactive agent?	Inotrope/Chronotrope; polypeptide hormone; increases intracellular cAMP independent of beta receptors → downstream inotropy/chronotropy.	ccrn::pharmacology ccrn::glucagon
What is glucagon's mechanism of action in shock?	Increases intracellular cAMP → inotropy and chronotropy downstream of the beta receptor.	ccrn::pharmacology ccrn::glucagon
When is glucagon preferred clinically?	Beta-blocker toxicity (bypasses blocked beta receptor); verapamil/diltiazem toxicity.	ccrn::pharmacology ccrn::glucagon
What is the dose of glucagon for toxicity?	1–10 mg bolus; 25–75 mcg/min infusion for sustained effect.	ccrn::pharmacology ccrn::glucagon
What are glucagon's adverse effects?	Nausea; vomiting; hyperglycemia.	ccrn::pharmacology ccrn::glucagon
What is methylene blue?	Vasopressor adjunct; inhibits nitric oxide synthase and soluble guanylate cyclase → decreases NO-mediated vasodilation; used for refractory vasoplegia.	ccrn::pharmacology ccrn::methylene_blue
What is methylene blue's mechanism of action?	Inhibits nitric oxide synthase and soluble guanylate cyclase → reduces NO → vasoconstriction.	ccrn::pharmacology ccrn::methylene_blue
When is methylene blue preferred clinically?	Refractory distributive shock (vasoplegia); post-cardiopulmonary bypass vasodilation.	ccrn::pharmacology ccrn::methylene_blue
What is the most notable risk of methylene blue?	Serotonin syndrome (especially with SSRIs or MAOIs).	ccrn::pharmacology ccrn::methylene_blue
Who should avoid methylene blue?	Patients on SSRIs/MAOIs (serotonin syndrome risk); G6PD deficiency (hemolysis risk).	ccrn::pharmacology ccrn::methylene_blue
What is the dose of methylene blue?	1.5–2.5 mg/kg IV; may follow with 0.25–0.5 mg/kg/h for 4–6 hours.	ccrn::pharmacology ccrn::methylene_blue
What is hydroxocobalamin?	Vasopressor adjunct (vitamin B12); inhibits nitric oxide synthase → vasoconstriction; approved for cyanide poisoning; also treats vasoplegia.	ccrn::pharmacology ccrn::hydroxocobalamin
What is hydroxocobalamin's mechanism of action in vasoplegia?	Inhibits nitric oxide synthase → reduces NO → vasoconstriction.	ccrn::pharmacology ccrn::hydroxocobalamin
What advantages does hydroxocobalamin have over methylene blue?	No risk of serotonin syndrome; no hemolysis risk.	ccrn::pharmacology ccrn::hydroxocobalamin
What are hydroxocobalamin's major adverse effects?	Expensive; interferes with lab tests (Hgb, creatinine, coagulation studies); interferes with hemodialysis dialysate sensors.	ccrn::pharmacology ccrn::hydroxocobalamin
What is the dose of hydroxocobalamin for vasoplegia?	5 or 10 g IV over 15 minutes; can be repeated.	ccrn::pharmacology ccrn::hydroxocobalamin
What role do glucocorticoids play in vasopressor therapy?	Direct vasoconstricting effect; increase catecholamine receptor responsiveness; blunt nitric oxide vasodilation.	ccrn::pharmacology ccrn::steroids ccrn::hydrocortisone
When are steroids indicated in shock?	Suspected adrenal insufficiency; refractory septic/vasodilatory shock not responsive to vasopressors.	ccrn::pharmacology ccrn::steroids
What is the standard hydrocortisone dose for shock?	200 mg/day in divided doses or continuous infusion; typically 7-day course with taper.	ccrn::pharmacology ccrn::steroids ccrn::hydrocortisone
Why is hydrocortisone the preferred steroid in shock?	Provides both glucocorticoid and mineralocorticoid effects; short-intermediate acting.	ccrn::pharmacology ccrn::steroids ccrn::hydrocortisone
Which steroid has the highest anti-inflammatory potency?	Betamethasone and dexamethasone (20–30× relative to hydrocortisone); long-acting (36–54h biologic half-life).	ccrn::pharmacology ccrn::steroids
Which steroids have no mineralocorticoid activity?	Methylprednisolone, triamcinolone, betamethasone, dexamethasone.	ccrn::pharmacology ccrn::steroids
What is atropine?	Parasympatholytic; muscarinic antagonist; belladonna alkaloid; increases HR by blocking vagal tone.	ccrn::pharmacology ccrn::atropine
What is atropine's mechanism of action?	Muscarinic (cholinergic) antagonist → blocks vagal tone → increases HR.	ccrn::pharmacology ccrn::atropine
When is atropine used clinically?	Symptomatic bradycardia from excess parasympathetic stimulation; procedural (ET suctioning, turning).	ccrn::pharmacology ccrn::atropine
What is the typical atropine dose for bradycardia?	0.5–1 mg IV bolus; duration ~30–60 minutes; may repeat.	ccrn::pharmacology ccrn::atropine
